codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
2867,Concello de A Coruña,Pabellón Novo Mesoiro (pasillo acceso a las pistas),"CORUÑA, A",A CORUÑA,43.3248,-8.4356,En instalaciones deportivas
2868,Concello de A Coruña,Campo de fútbol Grela I (control de seguridad),"CORUÑA, A",A CORUÑA,43.3517,-8.4255,En instalaciones deportivas
2869,Concello de A Coruña,Casa del Agua (sala esgrima),"CORUÑA, A",A CORUÑA,43.3687,-8.4196,En instalaciones deportivas
2870,Concello de A Coruña,Campo de fútbol A Zapateira (vestuario árbitros),"CORUÑA, A",A CORUÑA,43.3686,-8.4197,En instalaciones deportivas
2871,Concello de A Coruña,Palacio de Deportes Riazor (habitación mantenimiento junto vestuarios),"CORUÑA, A",A CORUÑA,43.3646,-8.4248,En instalaciones deportivas
2877,"Cardiosafe, S.L.","Riazor Salud, S.L. (recepción)","CORUÑA, A",A CORUÑA,43.3680,-8.4127,En empresa privada
2878,"SEGURIDAD LÍMITE 24 HORAS, S.L.",Casa do Cabildo,SANTIAGO,A CORUÑA,42.8798,-8.5444,Administraciones o instituciones públicas
2879,"SEGURIDAD LÍMITE 24 HORAS, S.L.",Casa Vaamonde - Sede consorcio de Santiago,SANTIAGO,A CORUÑA,42.8781,-8.5447,Administraciones o instituciones públicas
2880,CONCELLO DE OUTES,Edificio do Bosque (en la oficina de Protección Civil),OUTES,A CORUÑA,42.8447,-8.9102,Protección civil (no amb.)
2881,CONCELLO DE OUTES,Pabellón Municipal,OUTES,A CORUÑA,42.8402,-8.9047,Protección civil (no amb.)
2882,CONCELLO DE OUTES,Piscina Municipal (recepción),OUTES,A CORUÑA,42.8441,-8.9097,En piscina pública
2883,"Salvar Formar y Socorrer, S.L.",Praia de Carril (caseta Servicio Salvamento),VIGO,PONTEVEDRA,42.2230,-8.7655,En playa
2884,"Salvar Formar y Socorrer, S.L.",Praia do Vao (caseta Servicio Salvamento),VIGO,PONTEVEDRA,42.1975,-8.7908,En playa
2885,"Salvar Formar y Socorrer, S.L.",Praia de Fortiñón(caseta Servicio Salvamento),VIGO,PONTEVEDRA,42.1747,-8.8135,En playa
2886,"Salvar Formar y Socorrer, S.L.",Praia de A Fontaiña (caseta Servicio Salvamento),VIGO,PONTEVEDRA,42.1992,-8.7865,En playa
2887,"Salvar Formar y Socorrer, S.L.",Praia de Canido (caseta Servicio Salvamento),VIGO,PONTEVEDRA,42.1943,-8.7965,En playa
2888,"Salvar Formar y Socorrer, S.L.",Praia de A Punta (caseta Servicio Salvamento),VIGO,PONTEVEDRA,42.2597,-8.6986,En playa
